date_time,Número de tarjetas principales,Transaciones de consumos totales,Transacciones de consumos corrientes,Transacciones de consumos rotativos,Transacciones de consumos diferidos,Facturación total,Facturación de consumos corrientes (Dólares),Facturación de consumos rotativos (Dólares),Facturación de consumos diferidos (Dólares),Transacciones de consumos en el exterior,Facturación de consumos en el exterior (Dólares),Transacciones de consumos por internet,Facturación de consumos por internet (Dólares)
2018-10-01,3108908.0000000065,17127259.000000026,3153715.999999994,9917743.000000032,4055799.9999999995,1115793469.6200058,173614701.44000235,465546103.5400015,476632664.640002,2677754.0000000033,194508659.97706613,1799611.9999999988,125026565.11999974
2018-11-01,3133360.000000026,16426873,3188313.999999991,9167997.000000022,4070561.999999988,1130601963.7099988,176194275.77000105,464981597.3700002,489426090.56999755,2696681.9999999614,197099393.4300005,1848962.9999999856,132511647.2300006
2018-12-01,3149193.9999999665,16341784.999999989,3262836.9999999846,8979430.999999996,4099517.000000007,1105965262.3395166,180278223.51951924,440511928.62999594,485175110.19000155,2478445.0000000275,163986629.57780668,1692467.0000000156,101439294.06999934
2019-01-01,3161695.9999999586,16383232.99999992,3139498.0000000023,9290096.999999931,3953637.9999999865,1093084177.719993,168810153.66000003,449539085.46999717,474734938.5899959,2486387.0000000037,158771535.27000055,1874519.000000006,122640471.86000085
2019-02-01,3176447.000000034,15799964.000000043,3011607.999999997,8691544.000000015,4096812.000000031,1042189033.4900055,160899357.13000017,419001801.47000414,462287874.89000124,2399335.000000018,156516377.55999982,1763126.999999997,119656401.56000017
2019-03-01,3196738.000000046,15980937.999999888,3000808.000000003,8715966.999999888,4264162.999999995,1076311246.3399982,162214773.7499999,434218784.3799989,479877688.2099993,2595763.9999999995,177178150.1499991,1958678.0000000168,146897090.2100006
2019-04-01,3233680,17383674,3174285.999999987,9769476.000000011,4439912,1186606633.809997,172991483.30000103,491462796.1699993,522152354.3399968,3047036.9999999832,201658621.3899996,2145674.0000000107,135666684.91999945
2019-05-01,3249862.0000000442,17074453.000000075,3160797.9999999986,9659391.000000076,4254264.000000002,1167217403.539985,170708353.4199994,478629976.26999205,517879073.8499935,2944296.9999999893,189747347.57999834,1978575.9999999763,133172895.61999951
2019-06-01,3268236.000000016,16563123.000000007,3079754.0000000065,9338633.999999989,4144735.0000000107,1143283403.1700053,162385855.20999923,485746816.450001,495150731.51000506,2835580.0000000047,172915644.57999915,1920931.999999999,126843691.12000018
2019-07-01,3304393.999999968,17788991.999999847,3227870.999999987,10346383.999999877,4214736.999999983,1182161463.9300098,163769387.99000058,502897831.0100067,515494244.93000245,3119653.999999989,185738342.99000055,2178980,138503066.54999906
2019-08-01,3341908.999999995,17552942.99999983,3193415.9999999963,10139801.999999868,4219724.999999963,1193863072.929997,168263740.19000003,507097036.4500011,518502296.28999573,3192569.000000021,204567402.50000066,1995055.0000000142,170471222.1600005
2019-09-01,3373964.000000012,17696877.00000001,3116356.000000018,10273793.999999983,4306727.000000008,1221890741.6000037,166269561.12999985,519502756.98000455,536118423.4899993,3327909.9999999707,205833786.4199996,2103133.0000000075,153362355.92999983
2019-10-01,3416249.0000000154,17246013.000000056,3041488.999999999,10022613.000000019,4181911.0000000386,1171583479.570009,156564237.7600009,504620987.2500028,510398254.5600053,3234302.000000005,195008417.03000045,2103975.000000001,130910596.57999906
2019-11-01,3436111.999999966,17542015,3178870.9999999884,10149955.999999974,4213188.000000039,1183525633.4100053,163130473.63999936,505820946.8900057,514574212.8800003,3258195.0000000205,196126451.4299995,2169506,139221260.00000027
2019-12-01,3468619.999999951,18951376,3384409.9999999944,11009644.000000002,4557322.000000006,1309489421.8300014,175772481.78999767,562522207.600002,571194732.4400017,3480385.000000019,202057248.35999727,2182623.000000006,130784283.7599993
2020-01-01,3490289.9999999884,17913542.000000138,3192012.000000022,10477098.000000112,4244432.000000005,1210925355.769998,163129428.97000015,524449679.22999823,523346247.5699998,3107643.999999993,173593016.86999878,2178110.00000001,145860821.56000137
2020-02-01,3513053.0000000335,17732125.000000037,3117374.000000004,10243726.000000004,4371025.000000029,1143427001.6799922,155475592.10999963,484483047.7299976,503468361.8399951,3069518.9999999874,171901031.1500003,2065202.9999999998,139964019.69999966
2020-03-01,3517680.999999988,16603780.99999997,2733792.999999998,9388050.999999981,4481936.999999991,1054604845.0300015,140243362.12999976,440753716.80000037,473607766.10000145,2833969.000000001,148286373.22999918,1653759.9999999953,124967424.72000074
2020-04-01,3474782.0000000196,11317501.999999987,1547069.9999999946,5818684.000000017,3951747.9999999753,823294561.8799999,83702633.72000039,246468401.24999902,493123526.9100004,1768701.0000000042,71634580.9499998,1384745.9999999949,101192124.47999981
2020-05-01,3443479.999999969,9706032.000000058,1472209.0000000065,5205961.000000016,3027862.0000000354,722681346.0400033,78214992.74000004,223726707.27999923,420739646.0200041,1697545.0000000007,69156651.04999983,1577041.000000016,109574669.86000031
2020-06-01,3407718.9999999967,11652472.000000028,1777296.0000000002,6795703.000000014,3079473.0000000126,912960953.1300049,91822700.41999999,302186239.7700013,518952012.94000363,2068029.0000000147,90903089.73000024,1687132.0000000012,123947560.09000014
